순번,과목코드,과목명,구분,구분2,학점,성적부여,담당교수,수업시간,장바구니,수강정원,수강인원
10182,934006,합창,확대교양,예술과체육,3,PassFail,백은경,"목05 ,06 ,07 [S21-4-146(92-146)]",24,70,28
10183,934006,합창,확대교양,예술과체육,3,PassFail,김지영,"수02 ,03 ,04 [S21-4-146(92-146)]",111,70,69
10184,921027,행복의 철학,일반교양,인간과문화,3,Grade,배기호,"목06 ,07 ,08 [N16-1-329(58-329)]",31,80,77
10185,921018,현대 한국사회의 이해,일반교양,인간과문화,3,Grade,김영미,"화06 ,07 ,08 [N14-106(56-106)]",1,54,19
10186,921009,현대 한국소설과의 만남,일반교양,인간과문화,3,Grade,이익성,"수06 ,07 ,08 [N16-1-225(58-225)]",5,40,32
10187,922036,현대사회의 범죄와 형벌,일반교양,사회와역사,3,Grade,홍진희,"목07 ,08 ,09 [N14-207(56-207)]",59,70,70
10188,922036,현대사회의 범죄와 형벌,일반교양,사회와역사,3,Grade,채희정,"금02 ,03 ,04 [N15-242(57-242)]",81,70,64
10189,922036,현대사회의 범죄와 형벌,일반교양,사회와역사,3,Grade,김형석,"화05 ,06 ,07 [N14-703(56-703)]",16,70,13
10190,922036,현대사회의 범죄와 형벌,일반교양,사회와역사,3,Grade,윤영석,"수07 ,08 ,09 [N15-242(57-242)]",5,70,9
10191,922028,현대사회의 인권과 정의,일반교양,사회와역사,3,Grade,채희정,"금07 ,08 ,09 [N14-703(56-703)]",47,80,66
10192,923013,현대산업사회와환경문제,일반교양,자연과과학,3,Grade,윤철,"목01 ,02 ,03 [S21-4-246(92-246)]",125,200,194
10193,923013,현대산업사회와환경문제,일반교양,자연과과학,3,Grade,김광열,"수07 ,08 ,09 [E8-10-103(508-103)]",10,100,38
10194,922022,현대정치와국제관계,일반교양,사회와역사,3,Grade,정태일,"화07 ,08 ,09 [N15-445(57-445)]",24,60,57
10195,923027,환경과 곤충산업의 이해,일반교양,자연과과학,3,Grade,김재용,"화07 ,08 ,09 [E8-10-104(508-104)]",3,108,8
10196,923030,환경과 그린에너지의 이해,일반교양,자연과과학,3,Grade,김재용,"수07 ,08 ,09 [E8-10-104(508-104)]",3,108,2
